ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-866297,396.0,CCN(CCN)CCN(C)C,CCN(CC)CCN(C)C
EN300-1604949,98.0,C1CNC(=O)CC1N,O=C1CCCCN1
EN300-26675827,361.0,CC(C)(C)c1nc(cs1)CC(=O)NC2CCCCC2CN,CC1CCCCC1NC(=O)Cc1csc(C(C)(C)C)n1
EN300-26676006,315.0,CC(Sc1ccc(cc1)C(=O)N[C@H]2CC[C@@H](CC2)CN)C,CC(C)Sc1ccc(C(=O)N[C@H]2CC[C@H](C)CC2)cc1
EN300-27736206,396.0,Cc1c(nc(o1)C)C(C)N,CCc1nc(C)oc1C
EN300-24412525,218.0,c1cc(cnc1)c2ccc(cc2)CN,Cc1ccc(-c2cccnc2)cc1
EN300-26961786,1108.0,c1cc(c(cc1OCCF)F)[C@H](C(F)F)N,FCCOc1ccc(CC(F)F)c(F)c1
EN300-25606903,188.0,Cc1cc(nc2c1cccc2)CN,Cc1cc(C)c2ccccc2n1
EN300-1243546,347.0,CC(C)C1(CCOCC1)CN,CC(C)C1(C)CCOCC1
EN300-1251045,200.0,CC(C(C)SC)N,CC[C@H](C)SC
EN300-26676125,524.0,c1cc(c2c(c1)OCCO2)CC(=O)NCc3ccc(cc3F)CN,Cc1ccc(CNC(=O)Cc2cccc3c2OCCO3)c(F)c1
EN300-26676219,559.0,Cc1cc(n(n1)CCC(=O)N2CCC(CC2)(CN)c3ccccc3)C,Cc1cc(C)n(CCC(=O)N2CCC(C)(c3ccccc3)CC2)n1
EN300-1252400,431.0,CCC(C)(c1ccc(cc1)Cl)N,CC[C@H](C)c1ccc(Cl)cc1
EN300-26983567,579.0,c1cc(ccc1CCCCCN)Cl,CCCCCc1ccc(Cl)cc1
EN300-25642273,666.0,C1CCC2(C1)CC2CN,C[C@H]1CC12CCCC2
EN300-27112583,206.0,CC[C@@H](COC(C)(C)C)N,CCCCOC(C)(C)C
EN300-27113655,142.0,Cc1cnn(c1CN)C,Cc1cnn(C)c1C
EN300-27114714,466.0,CC(C)(c1nc(on1)C(=O)N)N,CC(C)c1noc(C(N)=O)n1
EN300-27114734,735.0,C1C2C3C2C(C4C1C34)N,C1C2C3CC4C1C4C23
EN300-27114992,579.0,C[C@H](c1cn(nn1)C)N,CCc1cn(C)nn1
EN300-7546555,524.0,Cn1cc(cn1)C(Cc2ccc(cc2)F)N,Cn1cc(CCc2ccc(F)cc2)cn1
EN300-7546564,438.0,c1cc2c(cc1Cl)C3C(C2)C3N,Clc1ccc2c(c1)C1CC1C2
EN300-7546627,1108.0,C1CC1(CCC#N)N,N#CCCC1CC1
EN300-7547247,506.0,c1ccc(cc1)c2ccc(cc2)C3(CC3)N,c1ccc(-c2ccc(C3CC3)cc2)cc1
EN300-7547280,77.0,CCOc1cc(ccn1)CN,CCOc1cc(C)ccn1
EN300-27113221,629.0,CC(c1cncc2c1cccc2)N,CCc1cncc2ccccc12
EN300-7535304,353.0,C1CN(CCC1N)CCC(=O)N,NC(=O)CCN1CCCCC1
EN300-7535397,102.0,c1cc2c(cc1CN)nn[nH]2,Cc1ccc2[nH]nnc2c1
EN300-27113707,586.0,COCC12CCC(CC1)(CO2)N,COCC12CCC(CC1)CO2
EN300-27114517,509.0,C1C[C@H]2C[C@@H]1[C@@H]3[C@H]2[C@@H](CC3)N,C1C[C@H]2[C@H]3CC[C@H](C3)[C@H]2C1
EN300-10040691,103.0,c1ccc(cc1)Cc2nc(no2)CN,Cc1noc(Cc2ccccc2)n1
EN300-7547555,473.0,CC(C)(CCF)N,CC(C)CCF
EN300-27113279,735.0,C[C@@]12C[C@H](CO1)[C@H](C2)CN,C[C@H]1C[C@]2(C)C[C@@H]1CO2
EN300-27118138,509.0,c1cc2c(cc1C#CCN)C(=O)N(C2=O)C3CCC(=O)NC3=O,CC#Cc1ccc2c(c1)C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
EN300-6738652,19.0,Cc1cnc(cn1)CN,Cc1cnc(C)cn1
EN300-7549132,431.0,CC(C(C)O)N1CCC(CC1)N,CC(O)C(C)N1CCCCC1
EN300-7549247,431.0,C(CN)c1nnc(s1)CO,CCc1nnc(CO)s1
EN300-7549284,206.0,CC(c1nc(no1)COC)N,CCc1nc(COC)no1
EN300-7549317,991.0,C1CC(C1)[C@H]2CC[C@H]2N,C1CC(C2CCC2)C1
EN300-7549457,503.0,CC(C)(CN)c1ccc(cc1)O,CC(C)(C)c1ccc(O)cc1
EN300-7549621,301.0,C1[C@H]([C@@H](CO1)F)N,F[C@H]1CCOC1
EN300-6776604,524.0,CN1[C@@H]2CC[C@H]1C[C@@H](C2)CN,C[C@H]1C[C@@H]2CC[C@H](C1)N2C
EN300-20882045,721.0,CS(=O)(=O)CC1(CC1)N,CS(=O)(=O)CC1CC1
EN300-7542761,530.0,C1CCC(C1)C2CC(C2)N,C1CCC(C2CCC2)C1
EN300-7500499,735.0,C1CC12CC23CC(C3)CN,CC1CC2(C1)CC21CC1
EN300-6763687,559.0,C1CCc2c(nnn2CCN)C1,CCn1nnc2c1CCCC2
EN300-7550722,721.0,C[C@H](c1ccn(n1)C)N,CCc1ccn(C)n1
EN300-7551490,666.0,C1[C@H]([C@]1(CN)CO)C(F)(F)F,C[C@@]1(CO)C[C@H]1C(F)(F)F
EN300-7549166,735.0,C1[C@H]([C@H]1CF)CN,C[C@@H]1C[C@@H]1CF
EN300-7549190,452.0,COc1cc(cc(c1OCC(F)F)OC)CCN,CCc1cc(OC)c(OCC(F)F)c(OC)c1
EN300-7549191,672.0,COc1cc(cc(c1OCCCF)OC)CCN,CCc1cc(OC)c(OCCCF)c(OC)c1
EN300-7549238,509.0,c1c(ocn1)CCN,CCc1cnco1
EN300-7549257,487.0,C1C2CC3CC1CC(C2)(C3)CCCN,CCCC12CC3CC(CC(C3)C1)C2
EN300-7549298,421.0,CN1CCCC[C@H](C1=O)N,CN1CCCCCC1=O
EN300-7026726,1118.0,C1C2CC1C(C2)CN,C[C@H]1CC2CC1C2
