ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-7499318,1499.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(C5(C4)CCCCCC5(F)F)C(=O)O,FC1(F)CCCCC[C@@]12CCNC2
EN300-6737833,1370.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC5(CCS(=O)(=O)CC5)C[C@H]4C(=O)O,O=S1(=O)CCC2(CCNC2)CC1
EN300-26625524,1015.0,Cc1cccc(c1)[C@@H](C2CCN(CC2)C(=O)OCC3c4ccccc4-c5c3cccc5)C(=O)O,Cc1cccc(CC2CCNCC2)c1
EN300-624022,749.0,c1ccc(cc1)[C@@H](CC(=O)O)C2CCN(CC2)C(=O)OCC3c4ccccc4-c5c3cccc5,C[C@H](c1ccccc1)C1CCNCC1
EN300-658240,601.0,CN([C@H](c1cccc(c1Cl)Cl)C(=O)O)C(=O)OCC2c3ccccc3-c4c2cccc4,CNCc1cccc(Cl)c1Cl
EN300-650970,749.0,c1ccc(cc1)CN2CCC[C@](C2)(C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,N[C@@H]1CCCN(Cc2ccccc2)C1
EN300-650262,127.0,c1ccc(cc1)CN2CCC(CC2)(C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,NC1CCN(Cc2ccccc2)CC1
EN300-1179858,842.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCn5c(c(nc5C(F)(F)F)C(=O)O)C4,FC(F)(F)c1ncc2n1CCNC2
EN300-658253,607.0,Cc1c(sc(n1)CC2CCN(CC2)C(=O)OCC3c4ccccc4-c5c3cccc5)C(=O)O,Cc1csc(CC2CCNCC2)n1
EN300-650952,701.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](Cn4cnc5c4cc(c(c5)F)F)C(=O)O,NCCn1cnc2cc(F)c(F)cc21
EN300-81168,1196.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCN(CC4)C(=O)N5CCC(CC5)C(=O)O,O=C(N1CCCCC1)N1CCNCC1
EN300-26619351,1082.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC[C@@H](C4)Oc5ccc(c(c5)C(=O)O)Cl,Clc1ccc(O[C@H]2CCNC2)cc1
EN300-27753990,1235.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCc5c4cc(cc5C(=O)O)Br,Brc1ccc2c(c1)NCC2
EN300-814152,666.0,CC(C)C[C@@H](C(=O)N1CCC(CC1)C(=O)O)NC(=O)OCC2c3ccccc3-c4c2cccc4,CC(C)C[C@H](N)C(=O)N1CCCCC1
EN300-3412109,538.0,CN([C@H](c1ccc(cc1)Br)C(=O)O)C(=O)OCC2c3ccccc3-c4c2cccc4,CNCc1ccc(Br)cc1
EN300-27729145,538.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N(Cc4ccc(cc4)Br)CC(=O)O,CNCc1ccc(Br)cc1
EN300-385343,623.0,CN([C@H](c1cccc(c1)Br)C(=O)O)C(=O)OCC2c3ccccc3-c4c2cccc4,CNCc1cccc(Br)c1
EN300-81111,206.0,c1ccc(c(c1)CN(CC(=O)O)C(=O)OCC2c3ccccc3-c4c2cccc4)Br,CNCc1ccccc1Br
EN300-1696697,594.0,c1ccc(cc1)CN(CCNC(=O)OCC2c3ccccc3-c4c2cccc4)CC(=O)O,CN(CCN)Cc1ccccc1
EN300-81191,735.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N(CCCC(=O)O)Cc4ccc(cc4Cl)F,CCCNCc1ccc(F)cc1Cl
EN300-1556410,1091.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCn5c(c(nc5Br)C(=O)O)C4,Brc1ncc2n1CCNC2
EN300-658261,770.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC(CC4)n5c(c(nn5)C(=O)O)C(F)F,FC(F)c1cnnn1C1CCNCC1
EN300-658262,601.0,COc1ccc2c(c1)c3c([nH]2)[C@@H](N(CC3)C(=O)OCC4c5ccccc5-c6c4cccc6)C(=O)O,COc1ccc2[nH]c3c(c2c1)CCNC3
EN300-26621553,855.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCN(CC4)c5nc6cc(ccc6o5)C(=O)O,c1ccc2oc(N3CCNCC3)nc2c1
EN300-385319,629.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4Cc5c(sc(c5Br)C(=O)O)C4,Brc1csc2c1CNC2
EN300-37475893,977.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCCC4CN5CCC(S5(=O)=O)C(=O)O,O=S1(=O)CCCN1C[C@H]1CCCN1
EN300-7547312,1082.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC[C@@H]4CN5CCC(S5(=O)=O)C(=O)O,O=S1(=O)CCCN1C[C@H]1CCCN1
EN300-658276,637.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC(CC4)[C@H](CC(=O)O)c5ccc(cc5)F,C[C@H](c1ccc(F)cc1)C1CCNCC1
EN300-22847252,743.0,CC(C)(C)Oc1ccc(cc1)CCN(CC(=O)O)C(=O)OCC2c3ccccc3-c4c2cccc4,CNCCc1ccc(OC(C)(C)C)cc1
EN300-7494240,1366.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4Cc5cc(ccc5C[C@H]4C(=O)O)Br,Brc1ccc2c(c1)CNCC2
EN300-6731677,601.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCc5cc(ccc5[C@@H]4C(=O)O)Br,Brc1ccc2c(c1)CCNC2
