ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-135765,383.0,COc1cc2c(cc1C(=O)O)OCO2,COc1ccc2c(c1)OCO2
EN300-140298,481.0,c1c(nc(o1)CC2CC2)C(=O)O,c1coc(CC2CC2)n1
EN300-22733,188.0,CC(C(=O)O)N1C(=O)c2ccc(cc2C1=O)Br,CCN1C(=O)c2ccc(Br)cc2C1=O
EN300-93624,19.0,C=C(c1ccccc1)C(=O)O,C=Cc1ccccc1
EN300-132587,403.0,Cc1cc(nn1c2ccccn2)C(=O)O,Cc1ccnn1-c1ccccn1
EN300-132615,233.0,CC(C(=O)O)S(=O)(=O)N,CCS(N)(=O)=O
EN300-132617,353.0,CC(Cc1ccc(c(c1)O)O)C(=O)O,CCCc1ccc(O)c(O)c1
EN300-132606,252.0,CC(C)(C)C(C(=O)O)SC,CSCC(C)(C)C
EN300-131294,206.0,c1ccc(cc1)CON2CC(CC2=O)C(=O)O,O=C1CCCN1OCc1ccccc1
EN300-136072,389.0,Cc1c(c(n(n1)CC(F)F)C)C(=O)O,Cc1cc(C)n(CC(F)F)n1
EN300-111079,176.0,CCn1cc(c(c1C)C(=O)O)c2ccccc2,CCn1cc(-c2ccccc2)cc1C
EN300-118256,367.0,Cc1ccccc1n2c(cc(n2)c3cccc(c3)Br)C(=O)O,Cc1ccccc1-n1ccc(-c2cccc(Br)c2)n1
EN300-133166,438.0,CC(C=C)C(C)C(=O)O,C=C[C@@H](C)CC
EN300-133318,431.0,CS(=O)(=O)NC(=O)c1cccc(c1)C(=O)O,CS(=O)(=O)NC(=O)c1ccccc1
EN300-130677,389.0,c1ccc(cc1)n2c(c(cn2)C(=O)O)Br,Brc1ccnn1-c1ccccc1
EN300-131930,288.0,c1cc2c(cc1C(=O)O)n3c(n2)CCC3,c1ccc2c(c1)nc1n2CCC1
EN300-132234,361.0,Cn1ccc(cc1=O)C(=O)NCCC(=O)O,CCNC(=O)c1ccn(C)c(=O)c1
EN300-132373,19.0,c1ccc(cc1)c2ccc(o2)C(=O)O,c1ccc(-c2ccco2)cc1
EN300-132377,216.0,CC(C)OCCCC(=O)O,CCCOC(C)C
