ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-26667315,1065.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4C5CC6C4(C6C5)C(=O)O,C1C2CC3C1C3C2
EN300-26977667,1065.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4CC(C45CCC5)C(=O)O,C1CC2(C1)CCC2
EN300-26682574,1065.0,Cn1c(nc(n1)C(=O)O)CNC(=O)OCC2c3ccccc3-c4c2cccc4,Cc1ncnn1C
EN300-27082229,1065.0,COCC1(CC(C1)NC(=O)OCC2c3ccccc3-c4c2cccc4)C(=O)O,COCC1CCC1
EN300-26872484,1065.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4C5CCC6C4(C6C5)C(=O)O,C1CC2C3CC1CC23
EN300-26573326,1065.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@]4(C[C@H](C45CCC5)O)C(=O)O,O[C@@H]1CCC12CCC2
EN300-7499428,1065.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@]4(C[C@H](C45CCC5)O)C(=O)O,O[C@@H]1CCC12CCC2
EN300-7551495,1065.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4CCc5c4cccc5C(=O)O,c1ccc2c(c1)CCC2
EN300-26677640,1065.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4C5CCCCCC5C4C(=O)O,C1CCC2CCC2CC1
EN300-26678924,1065.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC[C@@H]4C[C@H]([C@H](C[C@@H]4C(=O)O)O)O,C[C@H]1CC[C@H](O)[C@H](O)C1
EN300-27148514,1065.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC(c4cccc(c4)C(=O)O)(F)F,CC(F)(F)c1ccccc1
EN300-26619675,1065.0,Cc1ccc(c2c1cccc2)C[C@@H](C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,CCc1ccc(C)c2ccccc12
EN300-26862558,1065.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(Cc4ccnc(c4)C(F)(F)F)C(=O)O,CCc1ccnc(C(F)(F)F)c1
EN300-7426013,1065.0,c1ccc(c(c1)CCC(C(=O)O)NC(=O)OCC2c3ccccc3-c4c2cccc4)Br,CCCc1ccccc1Br
EN300-372316,1074.0,Cn1c(c(cn1)CNC(=O)OCC2c3ccccc3-c4c2cccc4)C(=O)O,Cc1cnn(C)c1
EN300-27708202,1074.0,C[C@@](CCC(=O)N)(C(=O)O)NC(=O)OCC1c2ccccc2-c3c1cccc3,CCCCC(N)=O
EN300-27702916,1074.0,C[C@](CCC(=O)N)(C(=O)O)NC(=O)OCC1c2ccccc2-c3c1cccc3,CCCCC(N)=O
EN300-3404938,1074.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](Cc4ccncn4)C(=O)O,CCc1ccncn1
EN300-27115076,1074.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(C4CS(=O)(=O)C4)C(=O)O,CC1CS(=O)(=O)C1
EN300-1163054,1074.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@H](CC(=O)O)c4ccc(c(c4)F)Cl,CCc1ccc(Cl)c(F)c1
EN300-6492410,1082.0,CC(c1c(con1)C(=O)O)NC(=O)OCC2c3ccccc3-c4c2cccc4,CCc1ccon1
EN300-7435536,1082.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](Cn4ccnn4)C(=O)O,CCn1ccnn1
EN300-26623900,1082.0,CC1(C(CC1(C(=O)O)NC(=O)OCC2c3ccccc3-c4c2cccc4)O)C,CC1(C)CC[C@@H]1O
EN300-26666533,1082.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC4CC(C45CCC5)C(=O)O,C[C@H]1CCC12CCC2
EN300-1720392,1082.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(C(=O)O)C4(CCCCC4)O,CC1(O)CCCCC1
EN300-26621560,1082.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H]4C[C@H]([C@H](C[C@@H]4C(=O)O)O)O,O[C@H]1CCCC[C@H]1O
EN300-26619676,1082.0,COc1ccc2cccc(c2c1)C[C@@H](C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,CCc1cccc2ccc(OC)cc12
EN300-7340212,1108.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@H]4C[C@@]5([C@H]4C5)C(=O)O,C1C[C@@H]2C[C@@H]12
EN300-1590401,1108.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(Cc4ccc5c(c4)[nH]c(=O)o5)C(=O)O,CCc1ccc2oc(=O)[nH]c2c1
EN300-27107349,1108.0,CC(C)(c1ccc(cc1)Br)C(C(=O)O)NC(=O)OCC2c3ccccc3-c4c2cccc4,CC(C)(C)c1ccc(Br)cc1
EN300-650931,1117.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4CCCC(C4)C(=O)O,C1CCCCC1
EN300-657586,1117.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(C4CCCO4)C(=O)O,C[C@H]1CCCO1
EN300-81467,1117.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC(Cc4cccnc4)C(=O)O,CCCc1cccnc1
EN300-81429,1117.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC(Cc4ccccn4)C(=O)O,CCCc1ccccn1
EN300-81180,1117.0,CC(C)(C)C1CCC(CC1)(C(=O)O)NC(=O)OCC2c3ccccc3-c4c2cccc4,CC(C)(C)C1CCCCC1
EN300-1284775,1117.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(CC(=O)O)c4ccncc4Br,CCc1ccncc1Br
EN300-7341206,1118.0,CC(C(C(=O)O)NC(=O)OCC1c2ccccc2-c3c1cccc3)(F)F,CC(C)(F)F
EN300-6737601,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@H]4COCC[C@H]4C(=O)O,C1CCOCC1
EN300-27145605,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4C5CC6C4C6(C5)C(=O)O,C1C2CC3C1C3C2
EN300-7563636,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@H]4C[C@H](C45CCC5)C(=O)O,C1CC2(C1)CCC2
EN300-6737670,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4CCOC(C4)CC(=O)O,C[C@H]1CCCCO1
EN300-77281,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](Cc4cncnc4)C(=O)O,CCc1cncnc1
EN300-335893,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@H](c4cccc(c4)F)C(=O)O,Cc1cccc(F)c1
EN300-27684885,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](COC(F)(F)F)C(=O)O,CCOC(F)(F)F
EN300-7551571,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)Nc4cnn5c4cc(cc5)C(=O)O,c1ccn2nccc2c1
EN300-7539608,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)Nc4cccc5c4ncc(c5)C(=O)O,c1ccc2ncccc2c1
EN300-6737661,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4(CC5(C4)CC(C5)(F)F)C(=O)O,FC1(F)CC2(CCC2)C1
EN300-27194087,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC4CCCC5(O4)CC(C5)C(=O)O,C[C@H]1CCCC2(CCC2)O1
EN300-27148510,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC4CCC5(CC(C5)C(=O)O)CO4,C[C@H]1CCC2(CCC2)CO1
EN300-1720361,1118.0,CC(C)(Cc1ccc(cc1)CNC(=O)OCC2c3ccccc3-c4c2cccc4)C(=O)O,Cc1ccc(CC(C)C)cc1
EN300-1720367,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)Nc4ccc(cc4)C5(CCOCC5)C(=O)O,c1ccc(C2CCOCC2)cc1
EN300-26678666,1118.0,c1ccc2c(c1)c(ccc2F)C[C@H](C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,CCc1ccc(F)c2ccccc12
EN300-1587533,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCc4c(nco4)C(=O)NCc5c(nco5)C(=O)O,Cc1ocnc1C(=O)NCc1cnco1
EN300-7439035,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](Cc4ccc(c5c4nccc5)Br)C(=O)O,CCc1ccc(Br)c2cccnc12
EN300-7538793,1131.0,CC(CC(=O)O)(CNC(=O)OCC1c2ccccc2-c3c1cccc3)C(F)F,CC(C)(C)C(F)F
EN300-637457,1131.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](c4ccc(cc4)F)C(=O)O,Cc1ccc(F)cc1
EN300-26977802,1131.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC#Cc4ccc(cc4)C(=O)O,CC#Cc1ccccc1
EN300-7550121,1131.0,CC(C)(CC(=O)O)c1ccc(cc1)NC(=O)OCC2c3ccccc3-c4c2cccc4,CC(C)(C)c1ccccc1
EN300-1556143,1135.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H]4CCC[C@H](C4)C(=O)O,C1CCCCC1
EN300-816987,1135.0,CC(C)(C)[C@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c3c1cccc3,CCC(C)(C)C
EN300-816964,1135.0,CC(C)(C)[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c3c1cccc3,CCC(C)(C)C
EN300-37108842,1135.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(C(=O)O)C45CCC(C4)C5,CC12CCC(C1)C2
EN300-755423,1135.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H]4CS(=O)(=O)C[C@H]4C(=O)O,O=S1(=O)CCCC1
EN300-7439931,1135.0,c1cc-2c(cc1)C(c3c2cccc3)COC(=O)NCc4nnn(c4)[C@H]5C[C@@H](C5)C(=O)O,Cc1cn(C2CCC2)nn1
EN300-28319267,1135.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(Cc4ccc(cc4)C5(N=N5)C(F)(F)F)C(=O)O,CCc1ccc(C2(C(F)(F)F)N=N2)cc1
EN300-1556151,1143.0,C[C@@H](CC(=O)O)CNC(=O)OCC1c2ccccc2-c3c1cccc3,CC(C)C
EN300-650044,1143.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCCC4(CC4)C(=O)O,CCC1CC1
EN300-26977841,1143.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCCc4c(cn[nH]4)C(=O)O,CCc1ccn[nH]1
EN300-81410,1143.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(c4cccc(c4)F)C(=O)O,Cc1cccc(F)c1
EN300-657845,1143.0,CC(Cc1ccccc1)(C(=O)O)NC(=O)OCC2c3ccccc3-c4c2cccc4,CCCc1ccccc1
EN300-650311,1143.0,c1ccc2cc(ccc2c1)C(C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,Cc1ccc2ccccc2c1
EN300-650969,1143.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)Nc4cc(ccc4C(=O)O)S(=O)(=O)N,NS(=O)(=O)c1ccccc1
EN300-6492535,1143.0,Cc1c(cc(cc1NC(=O)OCC2c3ccccc3-c4c2cccc4)Br)C(=O)O,Cc1ccc(Br)cc1
EN300-658286,1143.0,CC(Cc1ccc(cc1)Br)(C(=O)O)NC(=O)OCC2c3ccccc3-c4c2cccc4,CCCc1ccc(Br)cc1
